Time (s),Vertical Position (pixels)
1.5867621898651123,0
1.6255502700805664,2
1.648693323135376,2
1.680640697479248,3
1.7126836776733398,5
1.7628090381622314,6
1.7967331409454346,7
1.8403093814849854,7
1.8568472862243652,7
1.8927111625671387,8
1.9214286804199219,7
1.9529719352722168,7
1.9863646030426025,8
2.0181398391723633,7
2.064394235610962,7
2.080723285675049,7
2.1134941577911377,4
2.1620125770568848,5
2.192638397216797,5
2.223599910736084,5
2.271332263946533,5
2.2890164852142334,5
2.321658134460449,5
2.3533687591552734,6
2.3855228424072266,6
2.418182611465454,7
2.449841260910034,7
2.484193801879883,7
2.5131688117980957,7
2.5616025924682617,8
2.5977509021759033,8
2.626422643661499,8
2.697774887084961,9
2.7033793926239014,9
2.7317111492156982,10
2.7526206970214844,10
2.7853827476501465,11
2.8178012371063232,11
2.8483428955078125,11
2.8817501068115234,12
2.915004253387451,12
2.962202787399292,12
2.9935710430145264,12
3.0266804695129395,13
3.0602288246154785,14
3.0911920070648193,14
3.1246063709259033,14
3.154419183731079,15
3.187549114227295,15
3.218193531036377,15
3.2512927055358887,16
3.2830426692962646,16
3.3168249130249023,16
3.3753507137298584,17
3.391411781311035,18
3.425523519515991,17
3.4572324752807617,18
3.4894020557403564,18
3.5228168964385986,19
3.567063570022583,19
3.5839552879333496,19
3.6168603897094727,20
3.6498637199401855,19
3.6826722621917725,20
3.7161002159118652,20
3.7637088298797607,21
3.8067760467529297,22
3.8249473571777344,22
3.8585896492004395,22
3.889146327972412,22
3.9213385581970215,23
3.954803705215454,23
3.9861209392547607,23
4.0190348625183105,24
4.050042152404785,24
4.082733392715454,25
4.114132881164551,25
4.1613242626190186,25
4.194103479385376,25
4.239366054534912,26
4.257960557937622,26
4.29015588760376,27
4.3224098682403564,27
4.352611541748047,28
4.385652542114258,28
4.418119192123413,28
4.462124586105347,28
4.481344699859619,28
4.511775255203247,28
4.5616936683654785,29
4.593552112579346,29
4.6264424324035645,29
4.754044055938721,30
4.762510776519775,30
4.772776365280151,30
4.782930374145508,30
4.789056062698364,31
4.817474126815796,31
4.849881410598755,32
4.895958185195923,32
4.912023067474365,32
4.961358308792114,32
4.993149042129517,32
5.025987863540649,32
5.058333873748779,32
5.104724645614624,32
5.120534181594849,32
5.153546094894409,32
5.186158180236816,33
5.2191736698150635,33
5.249567747116089,34
5.282653331756592,33
5.328640937805176,34
5.361734628677368,34
5.39438533782959,35
5.42472243309021,35
5.457195043563843,35
5.489452362060547,35
5.5233683586120605,36
5.553611755371094,36
5.584681034088135,35
5.6176207065582275,36
5.649937629699707,36
5.6820995807647705,36
5.71258544921875,37
5.775449275970459,37
5.7931365966796875,37
5.824732542037964,37
5.8563148975372314,37
5.889420032501221,38
5.922140121459961,38
5.9670326709747314,38
5.983986854553223,39
6.016719818115234,39
6.049216270446777,39
6.081812143325806,39
6.111800193786621,39
6.162048101425171,39
6.207371711730957,40
6.2235493659973145,40
6.258515357971191,40
6.289635181427002,40
6.321582555770874,41
6.353856325149536,41
6.385329484939575,42
6.430994272232056,42
6.448725938796997,42
6.481815576553345,42
6.513344764709473,43
6.561952590942383,43
6.592686176300049,43
6.638908624649048,44
6.7353363037109375,44
6.7421791553497314,45
6.749050855636597,45
6.757063150405884,45
6.784919023513794,45
6.81731390953064,45
6.849964141845703,46
6.882654905319214,46
6.914769887924194,46
6.96125054359436,46
6.996321201324463,47
7.028090476989746,47
7.058887004852295,48
7.09178614616394,48
7.123186826705933,48
7.157894134521484,50
7.187180042266846,48
7.21928596496582,49
7.250580072402954,49
7.283961296081543,49
7.31522798538208,49
7.363255500793457,49
7.39568829536438,50
7.42617654800415,50
7.455564498901367,51
7.489960432052612,51
7.521194219589233,51
7.554545164108276,52
7.586950063705444,52
7.618786573410034,52
7.649586200714111,52
7.682648658752441,52
7.71584677696228,55
7.760910749435425,55
7.823866605758667,57
7.830449819564819,56
7.857211112976074,55
7.8883702754974365,56
7.934675931930542,55
7.9533445835113525,56
7.989144325256348,55
8.017420768737793,57
8.0490140914917,56
8.08164668083191,57
8.112456798553467,58
8.176387786865234,57
8.191669464111328,58
8.227010488510132,59
8.257166862487793,58
8.290326118469238,58
8.321787357330322,58
8.367858409881592,58
8.38526439666748,58
8.418096542358398,59
8.451374530792236,59
8.480947017669678,60
8.512921571731567,61
8.561948537826538,60
8.608556270599365,61
8.627230167388916,61
8.716545820236206,60
8.726378679275513,59
8.73323655128479,60
8.753334283828735,60
8.785277605056763,61
8.819815635681152,61
8.851590633392334,61
8.882008075714111,62
8.914447784423828,62
8.963871717453003,61
8.993330717086792,62
9.039937973022461,62
9.05697250366211,62
9.093979597091675,63
9.122079372406006,62
9.152405261993408,62
9.185192346572876,62
9.217869520187378,62
9.262594938278198,63
9.281155824661255,63
9.312583684921265,63
9.360649108886719,63
9.393031597137451,63
9.425891876220703,63
9.457804679870605,63
9.489283800125122,64
9.520777225494385,65
9.554358959197998,64
9.58597707748413,65
9.61776065826416,65
9.650330543518066,65
9.693016052246094,64
9.712783336639404,65
9.761085987091064,65
